list1,list2
Abilene Christian,Abilene Christian Wildcats
Air Force,Air Force Falcons
Alabama,Alabama Crimson Tide
Alabama A&M,Alabama A&M Bulldogs
Alabama State,Alabama St Hornets
Albany (NY),Albany Great Danes
Alcorn State,Alcorn St Braves
American,American Eagles
Akron,Akron Zips
Appalachian State,Appalachian St Mountaineers
Arizona,Arizona Wildcats
Arizona State,Arizona St Sun Devils
Arkansas,Arkansas Razorbacks
Arkansas State,Arkansas St Red Wolves
Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions
Army,Army Knights
Auburn,Auburn Tigers
Austin Peay,Austin Peay Governors
Ball State,Ball State Cardinals
Baylor,Baylor Bears
Bellarmine,Bellarmine Knights
Belmont,Belmont Bruins
Bethune-Cookman,Bethune-Cookman Wildcats
Binghamton,Binghamton Bearcats
Boise State,Boise State Broncos
Boston College,Boston College Eagles
Boston University,Boston Univ. Terriers
Bowling Green State,Bowling Green Falcons
Bradley,Bradley Braves
Brigham Young,BYU Cougars
Brown,Brown Bears
Bryant,Bryant Bulldogs
Bucknell,Bucknell Bison
Buffalo,Buffalo Bulls
Butler,Butler Bulldogs
California Baptist,Cal Baptist Lancers
Cal Poly,Cal Poly Mustangs
Cal State Bakersfield,CSU Bakersfield Roadrunners
Cal State Fullerton,CSU Fullerton Titans
Cal State Northridge,CSU Northridge Matadors
California,California Golden Bears
Campbell,Campbell Fighting Camels
Canisius,Canisius Golden Griffins
Central Arkansas,Central Arkansas Bears
Central Connecticut State,Central Connecticut St Blue Devils
Central Michigan,Central Michigan Chippewas
Charlotte,Charlotte 49ers
Charleston Southern,Charleston Southern Buccaneers
Chattanooga,Chattanooga Mocs
Chicago State,Chicago St Cougars
Cleveland State,Cleveland St Vikings
Creighton,Creighton Bluejays
Clemson,Clemson Tigers
College of Charleston,Charleston Cougars
Colgate,Colgate Raiders
Cincinnati,Cincinnati Bearcats
Coastal Carolina,Coastal Carolina Chanticleers
Colorado,Colorado Buffaloes
Colorado State,Colorado St Rams
Columbia,Columbia Lions
Connecticut,UConn Huskies
Coppin State,Coppin St Eagles
Cornell,Cornell Big Red
Dartmouth,Dartmouth Big Green
Davidson,Davidson Wildcats
Dayton,Dayton Flyers
Delaware State,Delaware St Hornets
Delaware,Delaware Blue Hens
Denver,Denver Pioneers
DePaul,DePaul Blue Demons
Detroit Mercy,Detroit Mercy Titans
Duquesne,Duquesne Dukes
Drake,Drake Bulldogs
Drexel,Drexel Dragons
Duke,Duke Blue Devils
East Carolina,East Carolina Pirates
East Tennessee State,East Tennessee St Buccaneers
East Texas A&M,East Texas A&M Lions
Eastern Illinois,Eastern Illinois Panthers
Eastern Kentucky,Eastern Kentucky Colonels
Eastern Michigan,Eastern Michigan Eagles
Eastern Washington,Eastern Washington Eagles
Elon,Elon Phoenix
Evansville,Evansville Purple Aces
Fairfield,Fairfield Stags
FDU,Fairleigh Dickinson Knights
Florida,Florida Gators
Florida A&M,Florida A&M Rattlers
Florida Atlantic,Florida Atlantic Owls
Florida Gulf Coast,Florida Gulf Coast Eagles
Florida International,Florida Int'l Golden Panthers
Florida State,Florida St Seminoles
Fordham,Fordham Rams
Fresno State,Fresno St Bulldogs
Furman,Furman Paladins
Gardner-Webb,Gardner-Webb Bulldogs
George Mason,George Mason Patriots
Georgia State,Georgia St Panthers
Georgia,Georgia Bulldogs
Georgia Southern,Georgia Southern Eagles
Georgia Tech,Georgia Tech Yellow Jackets
George Washington,GW Revolutionaries
Georgetown,Georgetown Hoyas
Gonzaga,Gonzaga Bulldogs
Grambling,Grambling St Tigers
Grand Canyon,Grand Canyon Antelopes
Green Bay,Green Bay Phoenix
Hampton,Hampton Pirates
Harvard,Harvard Crimson
Hawaii,Hawai'i Rainbow Warriors
High Point,High Point Panthers
Hofstra,Hofstra Pride
Holy Cross,Holy Cross Crusaders
Houston,Houston Cougars
Houston Christian,Houston Christian Huskies
Howard,Howard Bison
Idaho,Idaho Vandals
Idaho State,Idaho State Bengals
Illinois,Illinois Fighting Illini
Illinois State,Illinois St Redbirds
Illinois-Chicago,UIC Flames
Incarnate Word,Incarnate Word Cardinals
Indiana,Indiana Hoosiers
IU Indy,IUPUI Jaguars
IU Indianapolis,IUPUI Jaguars
Indiana State,Indiana St Sycamores
Iona,Iona Gaels
Iowa,Iowa Hawkeyes
Iowa State,Iowa State Cyclones
Jackson State,Jackson St Tigers
Jacksonville,Jacksonville Dolphins
Jacksonville State,Jacksonville St Gamecocks
James Madison,James Madison Dukes
Kansas,Kansas Jayhawks
Kansas City,UMKC Kangaroos
Kansas State,Kansas St Wildcats
Kennesaw State,Kennesaw St Owls
Kentucky,Kentucky Wildcats
Kent State,Kent State Golden Flashes
Lamar,Lamar Cardinals
La Salle,La Salle Explorers
Lafayette,Lafayette Leopards
Lehigh,Lehigh Mountain Hawks
Le Moyne,Le Moyne Dolphins
Liberty,Liberty Flames
Lindenwood,Lindenwood Lions
Lipscomb,Lipscomb Bisons
Little Rock,Arkansas-Little Rock Trojans
Long Beach State,Long Beach St 49ers
Long Island University,LIU Sharks
LIU,LIU Sharks
Longwood,Longwood Lancers
Louisiana,Louisiana Ragin' Cajuns
Louisiana State,LSU Tigers
Louisiana Tech,Louisiana Tech Bulldogs
Louisiana-Monroe,UL Monroe Warhawks
Louisville,Louisville Cardinals
Loyola Marymount,Loyola Marymount Lions
Loyola (IL),Loyola (Chi) Ramblers
Loyola (MD),Loyola (MD) Greyhounds
Maine,Maine Black Bears
Manhattan,Manhattan Jaspers
Marist,Marist Red Foxes
Marquette,Marquette Golden Eagles
Marshall,Marshall Thundering Herd
Maryland,Maryland Terrapins
Maryland-Baltimore County,UMBC Retrievers
Maryland-Eastern Shore,Maryland-Eastern Shore Hawks
Massachusetts,Massachusetts Minutemen
Massachusetts-Lowell,UMass Lowell River Hawks
McNeese State,McNeese Cowboys
Memphis,Memphis Tigers
Mercer,Mercer Bears
Mercyhurst,Mercyhurst Lakers
Merrimack,Merrimack Warriors
Miami (FL),Miami Hurricanes
Miami (OH),Miami (OH) RedHawks
Michigan,Michigan Wolverines
Michigan State,Michigan State Spartans
Middle Tennessee,Middle Tennessee Blue Raiders
Milwaukee,Milwaukee Panthers
Minnesota,Minnesota Golden Gophers
Mississippi,Ole Miss Rebels
Mississippi State,Mississippi St Bulldogs
Mississippi Valley State,Miss Valley St Delta Devils
Missouri,Missouri Tigers
Missouri State,Missouri St Bears
Monmouth,Monmouth Hawks
Montana,Montana Grizzlies
Montana State,Montana St Bobcats
Morehead State,Morehead St Eagles
Morgan State,Morgan St Bears
Mount St. Mary's,Mt. St. Mary's Mountaineers
Murray State,Murray St Racers
Navy,Navy Midshipmen
NC State,NC State Wolfpack
Nebraska,Nebraska Cornhuskers
Nevada,Nevada Wolf Pack
Nevada-Las Vegas,UNLV Rebels
New Haven,New Haven Chargers
New Mexico,New Mexico Lobos
New Mexico State,New Mexico St Aggies
New Orleans,New Orleans Privateers
Niagara,Niagara Purple Eagles
Nicholls State,Nicholls St Colonels
NJIT,NJIT Highlanders
Norfolk State,Norfolk St Spartans
North Alabama,North Alabama Lions
North Carolina,North Carolina Tar Heels
North Carolina Central,North Carolina Central Eagles
North Dakota,North Dakota Fighting Hawks
North Dakota State,North Dakota St Bison
North Florida,North Florida Ospreys
North Texas,North Texas Mean Green
Northeastern,Northeastern Huskies
Northern Arizona,Northern Arizona Lumberjacks
Northern Colorado,N Colorado Bears
Northern Illinois,Northern Illinois Huskies
Northern Iowa,Northern Iowa Panthers
New Hampshire,New Hampshire Wildcats
Northern Kentucky,Northern Kentucky Norse
North Carolina A&T,North Carolina A&T Aggies
Northwestern State,Northwestern St Demons
Northwestern,Northwestern Wildcats
Notre Dame,Notre Dame Fighting Irish
Oakland,Oakland Golden Grizzlies
Ohio,Ohio Bobcats
South Dakota State,South Dakota St Jackrabbits
Ohio State,Ohio State Buckeyes
Oklahoma,Oklahoma Sooners
Oklahoma State,Oklahoma St Cowboys
Old Dominion,Old Dominion Monarchs
Omaha,Omaha Mavericks
Oral Roberts,Oral Roberts Golden Eagles
Oregon,Oregon Ducks
South Dakota,South Dakota Coyotes
Temple,Temple Owls
Oregon State,Oregon St Beavers
Pacific,Pacific Tigers
Penn State,Penn State Nittany Lions
Pennsylvania,Pennsylvania Quakers
Penn,Pennsylvania Quakers
Pepperdine,Pepperdine Waves
Pittsburgh,Pittsburgh Panthers
Portland,Portland Pilots
Portland State,Portland St Vikings
Prairie View,Prairie View Panthers
Presbyterian,Presbyterian Blue Hose
Princeton,Princeton Tigers
Providence,Providence Friars
Purdue,Purdue Boilermakers
Purdue Fort Wayne,Fort Wayne Mastodons
Quinnipiac,Quinnipiac Bobcats
Queens (NC),Queens University Royals
Radford,Radford Highlanders
Rhode Island,Rhode Island Rams
Rice,Rice Owls
Richmond,Richmond Spiders
Rider,Rider Broncs
Robert Morris,Robert Morris Colonials
Rutgers,Rutgers Scarlet Knights
Sacramento State,Sacramento St Hornets
Sacred Heart,Sacred Heart Pioneers
Saint Joseph's,Saint Joseph's Hawks
Saint Francis (PA),St. Francis (PA) Red Flash
Saint Mary's (CA),Saint Mary's Gaels
Saint Peter's,Saint Peter's Peacocks
Sam Houston,Sam Houston St Bearkats
Samford,Samford Bulldogs
San Diego,San Diego Toreros
San Diego State,San Diego St Aztecs
San Francisco,San Francisco Dons
San Jose State,San José St Spartans
Santa Clara,Santa Clara Broncos
Seton Hall,Seton Hall Pirates
Siena,Siena Saints
SIU Edwardsville,SIU-Edwardsville Cougars
South Alabama,South Alabama Jaguars
South Carolina,South Carolina Gamecocks
South Carolina State,South Carolina State Bulldogs
South Carolina Upstate,South Carolina Upstate Spartans
South Florida,South Florida Bulls
Southern,Southern Jaguars
Southern California,USC Trojans
Southern Illinois,Southern Illinois Salukis
Southern Indiana,Southern Indiana Screaming Eagles
Southern Methodist,SMU Mustangs
Southern Mississippi,Southern Miss Golden Eagles
Southern Utah,Southern Utah Thunderbirds
Southeast Missouri State,SE Missouri St Redhawks
Southeast Mo. St.,Southeast Missouri State
Southeastern Louisiana,SE Louisiana Lions
Seattle,Seattle Redhawks
Stetson,Stetson Hatters
St. Bonaventure,St. Bonaventure Bonnies
St. John's (NY),St. John's Red Storm
St. Thomas,St. Thomas (MN) Tommies
Stanford,Stanford Cardinal
Stephen F. Austin,Stephen F. Austin Lumberjacks
Stonehill,Stonehill Skyhawks
Stony Brook,Stony Brook Seawolves
Syracuse,Syracuse Orange
Tarleton State,Tarleton State Texans
TCU,TCU Horned Frogs
Tennessee,Tennessee Volunteers
Tennessee State,Tennessee St Tigers
Tennessee Tech,Tennessee Tech Golden Eagles
Tennessee-Martin,Tenn-Martin Skyhawks
Texas,Texas Longhorns
Texas A&M,Texas A&M Aggies
Texas A&M-Corpus Christi,Texas A&M-CC Islanders
Texas-Rio Grande Valley,UT Rio Grande Valley Vaqueros
Texas Southern,Texas Southern Tigers
Texas State,Texas State Bobcats
Texas Tech,Texas Tech Red Raiders
The Citadel,The Citadel Bulldogs
Toledo,Toledo Rockets
Towson,Towson Tigers
